AppID,Name,Release date,Estimated owners,Required age,Price,Supported languages,Positive,Negative,Achievements,Recommendations,Average playtime forever,Publishers,Categories,Genres
20200,Galactic Bowling,21-Oct-08,0 - 20000,0,19.99,['English'],6,11,30,0,0,Perpetual FX Creative,"Single-player,Multi-player,Steam Achievements,Partial Controller Support","Casual,Indie,Sports"
655370,Train Bandit,12-Oct-17,0 - 20000,0,0.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",53,5,12,0,0,Wild Rooster,"Single-player,Steam Achievements,Full controller support,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Indie"
1732930,Jolt Project,17-Nov-21,0 - 20000,0,4.99,"['English', 'Portuguese - Brazil']",0,0,0,0,0,Campião Games,Single-player,"Action,Adventure,Indie,Strategy"
1355720,Henosis™,23-Jul-20,0 - 20000,0,5.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",3,0,0,0,0,Odd Critter Games,"Single-player,Full controller support","Adventure,Casual,Indie"
1139950,Two Weeks in Painland,3-Feb-20,0 - 20000,0,0,"['English', 'Spanish - Spain']",50,8,17,0,0,Unusual Games,"Single-player,Steam Achievements","Adventure,Indie"
1469160,Wartune Reborn,26-Feb-21,50000 - 100000,0,0,['English'],87,49,0,0,0,7Road,"Single-player,Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,In-App Purchases","Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Strategy"
1659180,TD Worlds,9-Jan-22,0 - 20000,0,10.99,"['English', 'Russian', 'Danish']",21,7,62,0,0,MAKSIM VOLKAU,"Single-player,Steam Achievements,Steam Cloud","Indie,Strategy"
1968760,Legend of Rome - The Wrath of Mars,5-May-22,0 - 20000,0,9.99,"['English', 'German']",0,0,0,0,0,magnussoft,"Single-player,Steam Cloud",Casual
1178150,MazM: Jekyll and Hyde,2-Apr-20,0 - 20000,0,14.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'Korean']",76,6,25,0,0,"CFK Co., Ltd.","Single-player,Steam Achievements,Full controller support","Adventure,RPG,Simulation,Strategy"
320150,Deadlings: Rotten Edition,11-Nov-14,50000 - 100000,0,3.99,"['English', 'Polish', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese', 'Russian', 'Japanese']",225,45,32,0,703,ONE MORE LEVEL,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Action,Adventure,Indie"
